captured_at,card_id,usage_count,public_deck_count,derived_public_deck_count,copy_count,usage_rank
2026-08-13T08:15:14.997410+00:00,bp01-037-surfent-swift-swimmer,13,13,0,0,145
2026-08-13T08:15:14.997410+00:00,bp01-038-cryolinx-arctic-ordeal,253,253,0,0,11
2026-08-13T08:15:14.997410+00:00,bp01-039-antique-curtain,63,63,0,0,101
2026-08-13T08:15:14.997410+00:00,bp01-040-antique-dresser,87,87,0,0,77
2026-08-13T08:15:14.997410+00:00,bp01-041-hot-spring,47,47,0,0,115
2026-08-13T08:15:14.997410+00:00,bp01-042-antique-mirror,194,194,0,0,26
2026-08-13T08:15:14.997410+00:00,bp01-043-sphere-workbench,51,51,0,0,112
2026-08-13T08:15:14.997410+00:00,bp01-044-pengullet-rocket-launcher,166,166,0,0,34
2026-08-13T08:15:14.997410+00:00,bp01-045-grappling-gun,118,118,0,0,58
2026-08-13T08:15:14.997410+00:00,bp01-046-victor-s-strategy,309,309,0,0,4
2026-08-13T08:15:14.997410+00:00,bp01-047-pal-sphere,266,266,0,0,9
2026-08-13T08:15:14.997410+00:00,bp01-048-aurora-guide,190,190,0,0,28
2026-08-13T08:15:14.997410+00:00,bp01-049-lyleen-blessing-of-the-goddess,254,254,0,0,10
2026-08-13T08:15:14.997410+00:00,bp01-050-digtoise-seismic-drillback,175,175,0,0,32
2026-08-13T08:15:14.997410+00:00,bp01-051-petallia-sweet-blessings,156,156,0,0,38
2026-08-13T08:15:14.997410+00:00,bp01-052-rushoar-reckless-destruction,109,109,0,0,66
2026-08-13T08:15:14.997410+00:00,bp01-053-elizabee-queen-of-the-flower-garden,62,62,0,0,104
2026-08-13T08:15:14.997410+00:00,bp01-054-warsect-iron-fortress,46,46,0,0,118
2026-08-13T08:15:14.997410+00:00,bp01-055-vaelet-bewitching-blossom,20,20,0,0,140
2026-08-13T08:15:14.997410+00:00,bp01-056-lifmunk-promising-newbie,8,8,0,0,149
2026-08-13T08:15:14.997410+00:00,bp01-057-dumud-mellow-bounty,106,106,0,0,70
2026-08-13T08:15:14.997410+00:00,bp01-058-gumoss-curious-sprout,51,51,0,0,113
2026-08-13T08:15:14.997410+00:00,bp01-059-digtoise-keen-needleback,87,87,0,0,78
2026-08-13T08:15:14.997410+00:00,bp01-060-tanzee-cheerful-worker,80,80,0,0,83
2026-08-13T08:15:14.997410+00:00,bp01-061-beegarde-knight-of-the-flower-garden,69,69,0,0,97
2026-08-13T08:15:14.997410+00:00,bp01-062-wumpo-botan-tropical-sentinel,116,116,0,0,61
2026-08-13T08:15:14.997410+00:00,bp01-063-breeding-farm,71,71,0,0,94
2026-08-13T08:15:14.997410+00:00,bp01-064-cola-vending-machine,52,52,0,0,110
2026-08-13T08:15:14.997410+00:00,bp01-065-feed-box,109,109,0,0,67
2026-08-13T08:15:14.997410+00:00,bp01-066-ranch,164,164,0,0,35
2026-08-13T08:15:14.997410+00:00,bp01-067-no-pals-beyond-sign,16,16,0,0,143
2026-08-13T08:15:14.997410+00:00,bp01-068-digtoise-s-headband,45,45,0,0,119
2026-08-13T08:15:14.997410+00:00,bp01-069-farming-hat,32,32,0,0,131
2026-08-13T08:15:14.997410+00:00,bp01-070-lily-s-strategy,216,216,0,0,19
2026-08-13T08:15:14.997410+00:00,bp01-071-found-an-egg,129,129,0,0,52
2026-08-13T08:15:14.997410+00:00,bp01-072-blessing-of-the-flower-spirit,64,64,0,0,100
2026-08-13T08:15:14.997410+00:00,bp01-073-helzephyr-wings-of-the-moonless-night,79,79,0,0,84
2026-08-13T08:15:14.997410+00:00,bp01-074-shadowbeak-seed-of-despair,191,191,0,0,27
2026-08-13T08:15:14.997410+00:00,bp01-075-katress-abyssal-sorcerer,139,139,0,0,45
2026-08-13T08:15:14.997410+00:00,bp01-076-tombat-out-of-nowhere,115,115,0,0,62
2026-08-13T08:15:14.997410+00:00,bp01-077-pyrin-noct-steed-of-azure-flames,201,201,0,0,21
2026-08-13T08:15:14.997410+00:00,bp01-078-lyleen-noct-providence-of-the-goddess,161,161,0,0,37
2026-08-13T08:15:14.997410+00:00,bp01-079-depresso-late-night-hustler,144,144,0,0,42
2026-08-13T08:15:14.997410+00:00,bp01-080-daedream-first-slumber,137,137,0,0,50
2026-08-13T08:15:14.997410+00:00,bp01-081-lovander-heartstealer,34,34,0,0,129
2026-08-13T08:15:14.997410+00:00,bp01-082-daedream-deep-slumber,141,141,0,0,44
2026-08-13T08:15:14.997410+00:00,bp01-083-vanwyrm-marauder-of-the-skies,42,42,0,0,123
2026-08-13T08:15:14.997410+00:00,bp01-084-menasting-darkness-dwelling-scorpion,201,201,0,0,22
2026-08-13T08:15:14.997410+00:00,bp01-085-maraith-twilight-messenger,182,182,0,0,31
2026-08-13T08:15:14.997410+00:00,bp01-086-nox-the-silent-one,13,13,0,0,146
2026-08-13T08:15:14.997410+00:00,bp01-087-loupmoon-glinting-moonlight,87,87,0,0,79
2026-08-13T08:15:14.997410+00:00,bp01-088-lamp,112,112,0,0,63
2026-08-13T08:15:14.997410+00:00,bp01-089-shoddy-bed,119,119,0,0,57
2026-08-13T08:15:14.997410+00:00,bp01-090-medieval-medicine-workbench,109,109,0,0,68
2026-08-13T08:15:14.997410+00:00,bp01-091-wooden-wall,77,77,0,0,88
2026-08-13T08:15:14.997410+00:00,bp01-092-viewing-cage,16,16,0,0,144
2026-08-13T08:15:14.997410+00:00,bp01-093-meat-cleaver,58,58,0,0,108
2026-08-13T08:15:14.997410+00:00,bp01-094-daedream-s-necklace,139,139,0,0,46
2026-08-13T08:15:14.997410+00:00,bp01-095-zoe-s-strategy,327,327,0,0,3
2026-08-13T08:15:14.997410+00:00,bp01-096-dark-cannon,199,199,0,0,23
2026-08-13T08:15:14.997410+00:00,bp01-097-black-marketeer,110,110,0,0,64
2026-08-13T08:15:14.997410+00:00,bp01-098-elphidran-gentle-radiance,148,148,0,0,41
2026-08-13T08:15:14.997410+00:00,bp01-099-direhowl-proud-fang,5,5,0,0,150
2026-08-13T08:15:14.997410+00:00,bp01-100-the-adventure-begins,76,76,0,0,90
2026-08-13T08:15:14.997410+00:00,td01-001-grizzbolt-rumbling-tank,42,42,0,0,124
2026-08-13T08:15:14.997410+00:00,td01-002-jolthog-shocking-yet-innocent,31,31,0,0,132
2026-08-13T08:15:14.997410+00:00,td01-003-kelpsea-ignis-balmy-magma,28,28,0,0,135
2026-08-13T08:15:14.997410+00:00,td01-004-foxparks-a-toasty-hug,277,277,0,0,7
2026-08-13T08:15:14.997410+00:00,td01-005-arsox-burning-spoils,47,47,0,0,116
2026-08-13T08:15:14.997410+00:00,td01-006-mossanda-lux-vanguard-captain,25,25,0,0,137
2026-08-13T08:15:14.997410+00:00,td01-007-blazamut-molten-sovereign,78,78,0,0,86
2026-08-13T08:15:14.997410+00:00,td01-008-stone-pit,78,78,0,0,87
2026-08-13T08:15:14.997410+00:00,td01-009-weapon-workbench,72,72,0,0,91
2026-08-13T08:15:14.997410+00:00,td01-010-single-shot-rifle,270,270,0,0,8
2026-08-13T08:15:14.997410+00:00,td01-011-ignis-breath,70,70,0,0,95
2026-08-13T08:15:14.997410+00:00,td01-012-elphidran-aqua-gentle-ripples,244,244,0,0,13
2026-08-13T08:15:14.997410+00:00,td01-013-jolthog-cryst-stoic-yet-innocent,25,25,0,0,138
2026-08-13T08:15:14.997410+00:00,td01-014-pengullet-frequent-flyer,135,135,0,0,51
2026-08-13T08:15:14.997410+00:00,td01-015-hangyu-cryst-frigid-wanderer,29,29,0,0,134
2026-08-13T08:15:14.997410+00:00,td01-016-reindrix-icy-gaze,302,302,0,0,5
2026-08-13T08:15:14.997410+00:00,td01-017-suzaku-aqua-way-of-the-current,47,47,0,0,117
2026-08-13T08:15:14.997410+00:00,td01-018-mammorest-cryst-roar-of-the-tundra,63,63,0,0,102
2026-08-13T08:15:14.997410+00:00,td01-019-antique-wooden-chair,63,63,0,0,103
2026-08-13T08:15:14.997410+00:00,td01-020-primitive-workbench,48,48,0,0,114
2026-08-13T08:15:14.997410+00:00,td01-021-single-shot-sphere-launcher,72,72,0,0,92
2026-08-13T08:15:14.997410+00:00,td01-022-crystal-breath,117,117,0,0,59
2026-08-13T08:15:14.997410+00:00,td01-023-lamball-my-first-pal,129,129,0,0,53
2026-08-13T08:15:14.997410+00:00,td01-024-ribbuny-little-princess,45,45,0,0,120
2026-08-13T08:15:14.997410+00:00,td01-soul,726,726,0,0,1
2026-08-13T08:15:14.997410+00:00,td02-001-mossanda-guard-captain,11,11,0,0,147
2026-08-13T08:15:14.997410+00:00,td02-002-gumoss-dreamy-seedling,19,19,0,0,142
2026-08-13T08:15:14.997410+00:00,td02-003-flopie-snack-lover,163,163,0,0,36
2026-08-13T08:15:14.997410+00:00,td02-004-dinossom-radiant-fragrance,239,239,0,0,14
2026-08-13T08:15:14.997410+00:00,td02-005-eikthyrdeer-terra-guardian-of-nature,120,120,0,0,56
2026-08-13T08:15:14.997410+00:00,td02-006-broncherry-brimming-adoration,52,52,0,0,111
2026-08-13T08:15:14.997410+00:00,td02-007-mammorest-roar-of-the-wilds,31,31,0,0,133
2026-08-13T08:15:14.997410+00:00,td02-008-berry-plantation,195,195,0,0,25
2026-08-13T08:15:14.997410+00:00,td02-009-campfire,59,59,0,0,107
2026-08-13T08:15:14.997410+00:00,td02-010-refined-metal-spear,33,33,0,0,130
2026-08-13T08:15:14.997410+00:00,td02-011-stone-blast,86,86,0,0,81
2026-08-13T08:15:14.997410+00:00,td02-012-astegon-aegis-wyvern-of-death,139,139,0,0,47
2026-08-13T08:15:14.997410+00:00,td02-013-hoocrates-embodiment-of-wisdom,28,28,0,0,136
2026-08-13T08:15:14.997410+00:00,td02-014-leezpunk-treasure-bandit,227,227,0,0,17
2026-08-13T08:15:14.997410+00:00,td02-015-cawgnito-looming-shadow,36,36,0,0,128
2026-08-13T08:15:14.997410+00:00,td02-016-incineram-lurking-stalker,20,20,0,0,141
2026-08-13T08:15:14.997410+00:00,td02-017-blazehowl-noct-darkflame-defender,231,231,0,0,16
2026-08-13T08:15:14.997410+00:00,td02-018-felbat-lifestealer,70,70,0,0,96
2026-08-13T08:15:14.997410+00:00,td02-019-hanging-trap,67,67,0,0,99
2026-08-13T08:15:14.997410+00:00,td02-020-cawgnito-hat,37,37,0,0,127
2026-08-13T08:15:14.997410+00:00,td02-021-strike-from-the-darkness,341,341,0,0,2
2026-08-13T08:15:14.997410+00:00,td02-022-medical-supplies,92,92,0,0,73
2026-08-13T08:15:14.997410+00:00,td02-023-cattiva-my-first-pal,185,185,0,0,29
2026-08-13T08:15:14.997410+00:00,td02-024-chikipi-my-first-pal,142,142,0,0,43
2026-08-13T08:15:14.997410+00:00,td02-soul,235,235,0,0,15
2026-08-13T13:27:02.307019+00:00,bp01-002-suzaku-hellfire-wings,115,115,0,0,61
2026-08-13T13:27:02.307019+00:00,bp01-004-bushi-ephemeral-blade,135,135,0,0,50
2026-08-13T13:27:02.307019+00:00,bp01-005-reptyro-ore-gorger,121,121,0,0,57
2026-08-13T13:27:02.307019+00:00,bp01-006-foxparks-light-of-courage,179,179,0,0,31
2026-08-13T13:27:02.307019+00:00,bp01-009-univolt-valiant-thunderclap,40,40,0,0,124
2026-08-13T13:27:02.307019+00:00,bp01-010-ragnahawk-emberwing-striker,93,93,0,0,73
2026-08-13T13:27:02.307019+00:00,bp01-012-flambelle-scorching-tears,107,107,0,0,68
2026-08-13T13:27:02.307019+00:00,bp01-015-mounted-machine-gun,86,86,0,0,80
2026-08-13T13:27:02.307019+00:00,bp01-016-primitive-furnace,152,152,0,0,39
2026-08-13T13:27:02.307019+00:00,bp01-017-flame-cauldron,71,71,0,0,94
2026-08-13T13:27:02.307019+00:00,bp01-019-foxparks-harness,105,105,0,0,70
2026-08-13T13:27:02.307019+00:00,bp01-020-pump-action-shotgun,286,286,0,0,6
2026-08-13T13:27:02.307019+00:00,bp01-023-axel-s-strategy,193,193,0,0,25
2026-08-13T13:27:02.307019+00:00,bp01-024-treasure-chest-found,59,59,0,0,108
2026-08-13T13:27:02.307019+00:00,bp01-026-relaxaurus-hungry-gunner,202,202,0,0,21
2026-08-13T13:27:02.307019+00:00,bp01-027-jormuntide-surging-sea-serpent,147,147,0,0,40
2026-08-13T13:27:02.307019+00:00,bp01-028-pengullet-yearning-for-the-sky,246,246,0,0,12
2026-08-13T13:27:02.307019+00:00,bp01-029-azurobe-water-dragon-waltz,86,86,0,0,81
2026-08-13T13:27:02.307019+00:00,bp01-030-reptyro-cryst-glacial-devourer,61,61,0,0,106
2026-08-13T13:27:02.307019+00:00,bp01-031-penking-mighty-warrior-of-the-deep,88,88,0,0,77
2026-08-13T13:27:02.307019+00:00,bp01-032-fuack-manic-wave-ripper,79,79,0,0,85
2026-08-13T13:27:02.307019+00:00,bp01-036-celaray-loop-de-loop,90,90,0,0,76
2026-08-13T13:27:02.307019+00:00,bp01-037-surfent-swift-swimmer,13,13,0,0,146
2026-08-13T13:27:02.307019+00:00,bp01-038-cryolinx-arctic-ordeal,252,252,0,0,11
2026-08-13T13:27:02.307019+00:00,bp01-039-antique-curtain,63,63,0,0,103
2026-08-13T13:27:02.307019+00:00,bp01-040-antique-dresser,88,88,0,0,78
2026-08-13T13:27:02.307019+00:00,bp01-041-hot-spring,47,47,0,0,116
2026-08-13T13:27:02.307019+00:00,bp01-042-antique-mirror,193,193,0,0,26
2026-08-13T13:27:02.307019+00:00,bp01-043-sphere-workbench,51,51,0,0,113
2026-08-13T13:27:02.307019+00:00,bp01-044-pengullet-rocket-launcher,165,165,0,0,36
2026-08-13T13:27:02.307019+00:00,bp01-045-grappling-gun,115,115,0,0,62
2026-08-13T13:27:02.307019+00:00,bp01-046-victor-s-strategy,310,310,0,0,4
2026-08-13T13:27:02.307019+00:00,bp01-047-pal-sphere,268,268,0,0,8
2026-08-13T13:27:02.307019+00:00,bp01-049-lyleen-blessing-of-the-goddess,257,257,0,0,10
2026-08-13T13:27:02.307019+00:00,bp01-050-digtoise-seismic-drillback,176,176,0,0,32
2026-08-13T13:27:02.307019+00:00,bp01-051-petallia-sweet-blessings,159,159,0,0,38
2026-08-13T13:27:02.307019+00:00,bp01-052-rushoar-reckless-destruction,110,110,0,0,67
2026-08-13T13:27:02.307019+00:00,bp01-053-elizabee-queen-of-the-flower-garden,63,63,0,0,104
2026-08-13T13:27:02.307019+00:00,bp01-054-warsect-iron-fortress,49,49,0,0,114
2026-08-13T13:27:02.307019+00:00,bp01-055-vaelet-bewitching-blossom,21,21,0,0,140
2026-08-13T13:27:02.307019+00:00,bp01-057-dumud-mellow-bounty,106,106,0,0,69
2026-08-13T13:27:02.307019+00:00,bp01-058-gumoss-curious-sprout,52,52,0,0,111
2026-08-13T13:27:02.307019+00:00,bp01-059-digtoise-keen-needleback,91,91,0,0,74
2026-08-13T13:27:02.307019+00:00,bp01-061-beegarde-knight-of-the-flower-garden,70,70,0,0,96
2026-08-13T13:27:02.307019+00:00,bp01-062-wumpo-botan-tropical-sentinel,119,119,0,0,58
2026-08-13T13:27:02.307019+00:00,bp01-063-breeding-farm,71,71,0,0,95
2026-08-13T13:27:02.307019+00:00,bp01-064-cola-vending-machine,52,52,0,0,112
2026-08-13T13:27:02.307019+00:00,bp01-065-feed-box,112,112,0,0,64
2026-08-13T13:27:02.307019+00:00,bp01-066-ranch,166,166,0,0,35
2026-08-13T13:27:02.307019+00:00,bp01-067-no-pals-beyond-sign,16,16,0,0,144
2026-08-13T13:27:02.307019+00:00,bp01-068-digtoise-s-headband,46,46,0,0,118
2026-08-13T13:27:02.307019+00:00,bp01-069-farming-hat,32,32,0,0,132
2026-08-13T13:27:02.307019+00:00,bp01-070-lily-s-strategy,221,221,0,0,19
2026-08-13T13:27:02.307019+00:00,bp01-071-found-an-egg,130,130,0,0,52
2026-08-13T13:27:02.307019+00:00,bp01-072-blessing-of-the-flower-spirit,66,66,0,0,100
2026-08-13T13:27:02.307019+00:00,bp01-073-helzephyr-wings-of-the-moonless-night,79,79,0,0,86
2026-08-13T13:27:02.307019+00:00,bp01-074-shadowbeak-seed-of-despair,193,193,0,0,27
2026-08-13T13:27:02.307019+00:00,bp01-075-katress-abyssal-sorcerer,141,141,0,0,45
2026-08-13T13:27:02.307019+00:00,bp01-076-tombat-out-of-nowhere,116,116,0,0,60
2026-08-13T13:27:02.307019+00:00,bp01-077-pyrin-noct-steed-of-azure-flames,202,202,0,0,22
2026-08-13T13:27:02.307019+00:00,bp01-078-lyleen-noct-providence-of-the-goddess,164,164,0,0,37
2026-08-13T13:27:02.307019+00:00,bp01-079-depresso-late-night-hustler,147,147,0,0,41
2026-08-13T13:27:02.307019+00:00,bp01-080-daedream-first-slumber,138,138,0,0,48
2026-08-13T13:27:02.307019+00:00,bp01-081-lovander-heartstealer,35,35,0,0,129
2026-08-13T13:27:02.307019+00:00,bp01-082-daedream-deep-slumber,144,144,0,0,43
2026-08-13T13:27:02.307019+00:00,bp01-083-vanwyrm-marauder-of-the-skies,43,43,0,0,120
2026-08-13T13:27:02.307019+00:00,bp01-084-menasting-darkness-dwelling-scorpion,202,202,0,0,23
2026-08-13T13:27:02.307019+00:00,bp01-085-maraith-twilight-messenger,183,183,0,0,30
2026-08-13T13:27:02.307019+00:00,bp01-086-nox-the-silent-one,14,14,0,0,145
2026-08-13T13:27:02.307019+00:00,bp01-087-loupmoon-glinting-moonlight,91,91,0,0,75
2026-08-13T13:27:02.307019+00:00,bp01-088-lamp,114,114,0,0,63
2026-08-13T13:27:02.307019+00:00,bp01-089-shoddy-bed,122,122,0,0,55
2026-08-13T13:27:02.307019+00:00,bp01-090-medieval-medicine-workbench,112,112,0,0,65
2026-08-13T13:27:02.307019+00:00,bp01-091-wooden-wall,80,80,0,0,84
2026-08-13T13:27:02.307019+00:00,bp01-092-viewing-cage,17,17,0,0,143
2026-08-13T13:27:02.307019+00:00,bp01-093-meat-cleaver,60,60,0,0,107
2026-08-13T13:27:02.307019+00:00,bp01-094-daedream-s-necklace,141,141,0,0,46
2026-08-13T13:27:02.307019+00:00,bp01-095-zoe-s-strategy,331,331,0,0,3
2026-08-13T13:27:02.307019+00:00,bp01-096-dark-cannon,203,203,0,0,20
2026-08-13T13:27:02.307019+00:00,bp01-097-black-marketeer,112,112,0,0,66
2026-08-13T13:27:02.307019+00:00,bp01-098-elphidran-gentle-radiance,147,147,0,0,42
2026-08-13T13:27:02.307019+00:00,bp01-099-direhowl-proud-fang,6,6,0,0,150
2026-08-13T13:27:02.307019+00:00,bp01-100-the-adventure-begins,77,77,0,0,88
2026-08-13T13:27:02.307019+00:00,td01-001-grizzbolt-rumbling-tank,42,42,0,0,123
2026-08-13T13:27:02.307019+00:00,td01-002-jolthog-shocking-yet-innocent,31,31,0,0,133
2026-08-13T13:27:02.307019+00:00,td01-004-foxparks-a-toasty-hug,274,274,0,0,7
2026-08-13T13:27:02.307019+00:00,td01-005-arsox-burning-spoils,46,46,0,0,119
2026-08-13T13:27:02.307019+00:00,td01-007-blazamut-molten-sovereign,76,76,0,0,90
2026-08-13T13:27:02.307019+00:00,td01-010-single-shot-rifle,267,267,0,0,9
2026-08-13T13:27:02.307019+00:00,td01-011-ignis-breath,70,70,0,0,97
2026-08-13T13:27:02.307019+00:00,td01-014-pengullet-frequent-flyer,134,134,0,0,51
2026-08-13T13:27:02.307019+00:00,td01-016-reindrix-icy-gaze,301,301,0,0,5
2026-08-13T13:27:02.307019+00:00,td01-018-mammorest-cryst-roar-of-the-tundra,64,64,0,0,101
2026-08-13T13:27:02.307019+00:00,td01-019-antique-wooden-chair,64,64,0,0,102
2026-08-13T13:27:02.307019+00:00,td01-020-primitive-workbench,48,48,0,0,115
2026-08-13T13:27:02.307019+00:00,td01-023-lamball-my-first-pal,130,130,0,0,53
2026-08-13T13:27:02.307019+00:00,td01-024-ribbuny-little-princess,43,43,0,0,121
2026-08-13T13:27:02.307019+00:00,td01-soul,734,734,0,0,1
2026-08-13T13:27:02.307019+00:00,td02-003-flopie-snack-lover,167,167,0,0,34
2026-08-13T13:27:02.307019+00:00,td02-004-dinossom-radiant-fragrance,244,244,0,0,14
2026-08-13T13:27:02.307019+00:00,td02-005-eikthyrdeer-terra-guardian-of-nature,122,122,0,0,56
2026-08-13T13:27:02.307019+00:00,td02-006-broncherry-brimming-adoration,53,53,0,0,110
2026-08-13T13:27:02.307019+00:00,td02-007-mammorest-roar-of-the-wilds,34,34,0,0,130
2026-08-13T13:27:02.307019+00:00,td02-008-berry-plantation,199,199,0,0,24
2026-08-13T13:27:02.307019+00:00,td02-009-campfire,63,63,0,0,105
2026-08-13T13:27:02.307019+00:00,td02-010-refined-metal-spear,34,34,0,0,131
2026-08-13T13:27:02.307019+00:00,td02-011-stone-blast,87,87,0,0,79
2026-08-13T13:27:02.307019+00:00,td02-012-astegon-aegis-wyvern-of-death,141,141,0,0,47
2026-08-13T13:27:02.307019+00:00,td02-014-leezpunk-treasure-bandit,229,229,0,0,17
2026-08-13T13:27:02.307019+00:00,td02-017-blazehowl-noct-darkflame-defender,233,233,0,0,16
2026-08-13T13:27:02.307019+00:00,td02-018-felbat-lifestealer,72,72,0,0,93
2026-08-13T13:27:02.307019+00:00,td02-021-strike-from-the-darkness,345,345,0,0,2
2026-08-13T13:27:02.307019+00:00,td02-022-medical-supplies,94,94,0,0,71
2026-08-13T13:27:02.307019+00:00,td02-023-cattiva-my-first-pal,186,186,0,0,29
2026-08-13T13:27:02.307019+00:00,td02-024-chikipi-my-first-pal,144,144,0,0,44
2026-08-13T13:27:02.307019+00:00,td02-soul,234,234,0,0,15
2026-08-14T02:29:56.176061+00:00,bp01-001-jormuntide-ignis-savage-lava-dragon,179,179,0,0,32
2026-08-14T02:29:56.176061+00:00,bp01-002-suzaku-hellfire-wings,119,119,0,0,60
2026-08-14T02:29:56.176061+00:00,bp01-003-gobfin-ignis-blazing-hothead,85,85,0,0,80
2026-08-14T02:29:56.176061+00:00,bp01-004-bushi-ephemeral-blade,142,142,0,0,46
2026-08-14T02:29:56.176061+00:00,bp01-005-reptyro-ore-gorger,125,125,0,0,54
2026-08-14T02:29:56.176061+00:00,bp01-006-foxparks-light-of-courage,185,185,0,0,30
2026-08-14T02:29:56.176061+00:00,bp01-007-kitsun-wyrmbane-fangs,68,68,0,0,99
2026-08-14T02:29:56.176061+00:00,bp01-008-sparkit-hazardous-contact,93,93,0,0,74
2026-08-14T02:29:56.176061+00:00,bp01-009-univolt-valiant-thunderclap,41,41,0,0,124
2026-08-14T02:29:56.176061+00:00,bp01-010-ragnahawk-emberwing-striker,97,97,0,0,71
2026-08-14T02:29:56.176061+00:00,bp01-011-rooby-brave-sparks,79,79,0,0,87
2026-08-14T02:29:56.176061+00:00,bp01-012-flambelle-scorching-tears,107,107,0,0,69
2026-08-14T02:29:56.176061+00:00,bp01-013-pyrin-cinder-steed,9,9,0,0,148
2026-08-14T02:29:56.176061+00:00,bp01-014-blazehowl-hellflame-defender,148,148,0,0,43
2026-08-14T02:29:56.176061+00:00,bp01-015-mounted-machine-gun,88,88,0,0,78
2026-08-14T02:29:56.176061+00:00,bp01-016-primitive-furnace,156,156,0,0,40
2026-08-14T02:29:56.176061+00:00,bp01-017-flame-cauldron,76,76,0,0,92
2026-08-14T02:29:56.176061+00:00,bp01-018-alarm-bell,39,39,0,0,125
2026-08-14T02:29:56.176061+00:00,bp01-019-foxparks-harness,112,112,0,0,66
2026-08-14T02:29:56.176061+00:00,bp01-020-pump-action-shotgun,295,295,0,0,6
2026-08-14T02:29:56.176061+00:00,bp01-021-makeshift-handgun,125,125,0,0,55
2026-08-14T02:29:56.176061+00:00,bp01-022-stone-pickaxe,22,22,0,0,140
2026-08-14T02:29:56.176061+00:00,bp01-023-axel-s-strategy,195,195,0,0,28
2026-08-14T02:29:56.176061+00:00,bp01-024-treasure-chest-found,58,58,0,0,109
2026-08-14T02:29:56.176061+00:00,bp01-025-chillet-dragon-whisperer,231,231,0,0,18
2026-08-14T02:29:56.176061+00:00,bp01-026-relaxaurus-hungry-gunner,216,216,0,0,20
2026-08-14T02:29:56.176061+00:00,bp01-027-jormuntide-surging-sea-serpent,160,160,0,0,39
